Bin Feature_name Count_D1 Count_D3 Gene_length(bp) RPKM_D1 RPKM_D3
bin_1 GEDJHMHK_01787 105 0 1175 0,102 0
bin_1 GEDJHMHK_02367 62 0 1082 0,066 0
bin_1 GEDJHMHK_01723 20 0 374 0 1,365
bin_2 NKKGILPB_01324 12 5 347 0,040 0,020
bin_2 NKKGILPB_01227 9 0 575 0,018 0 
bin_2 NKKGILPB_01639 5 1 833 0,007 0,002
bin_6 AJLHJOPO_00051 793 983 437 2,077 3,070
bin_6 AJLHJOPO_00052 115 286 143 0,902 2,730
bin_6 AJLHJOPO_01126 8 0 1010 0,009 0
bin_7 IBEININK_01452 19 5 338 0,064 0,020
bin_7 IBEININK_01924 12 3 722 0,019 0,006
bin_7 IBEININK_00586 9 3 1517 0,007 0,003
bin_12 NAKHGHBN_01044 97 62 1913 0,058 0,044
bin_12 NAKHGHBN_01018 63 16 329 0,219 0,066
bin_12 NAKHGHBN_01166 63 37 194 0,372 0,260
bin_16 KMAGMKGC_00888 35 0 572 0,070 0
bin_16 KMAGMKGC_01784 10 0 2030 0,005 0 
bin_16 KMAGMKGC_01050 7 0 611 0,013 0 
bin_19 HOJAHHDM_00612 95 3 422 0,258 0,010
bin_19 HOJAHHDM_01482 46 0 3326 0,016 0
bin_19 HOJAHHDM_01289 31 1 2759 0,013 0,001
bin_24 OADFBJFJ_02314 101 12 488 0,237 0,034
bin_24 OADFBJFJ_02432 92 10 224 0,470 0,061
bin_24 OADFBJFJ_01386 68 8 506 0,154 0,002
bin_26 FFEFCCMG_00326 107 258 209 0,586 1,685
bin_26 FFEFCCMG_00904 87 40 3071 0,032 0,018
bin_26 FFEFCCMG_00530 61 164 269 0,256 0,832 
